                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.004,                 5.5945,                 1.0541,                0.66256,                0.16035,                0.15295,                 0.1183,                0.89398,                 3.8454,                 1.0117,             5.0567e-05,             5.0567e-05,             5.0567e-05
                      2,                0.90218,                 2.8127,                 1.0303,                 0.8058,                0.27044,                0.34985,                0.27488,                0.84138,                 2.3919,                0.99452,             9.5175e-05,             9.5175e-05,             9.5175e-05
                      3,                0.87988,                  2.105,                 1.0134,                0.56624,                0.48014,                0.44304,                0.35606,                0.82693,                 1.9686,                0.98176,             0.00013301,             0.00013301,             0.00013301
                      4,                0.83723,                 1.7416,                0.98596,                0.65892,                0.48333,                0.52794,                0.42474,                0.80638,                  1.679,                0.98012,             0.00012351,             0.00012351,             0.00012351
                      5,                0.83262,                 1.5443,                0.98939,                0.65829,                 0.5625,                0.60271,                0.49238,                0.79567,                 1.4073,                0.98555,             0.00011334,             0.00011334,             0.00011334
                      6,                0.76564,                 1.4633,                0.96591,                0.71104,                0.53459,                0.61736,                0.51025,                0.78517,                 1.3922,                0.96984,             0.00010318,             0.00010318,             0.00010318
                      7,                0.76262,                 1.2798,                0.95961,                 0.6554,                0.59654,                0.60552,                0.49663,                0.77686,                 1.2969,                0.96207,             9.3016e-05,             9.3016e-05,             9.3016e-05
                      8,                0.76188,                 1.1839,                0.94707,                0.71769,                0.57434,                0.62146,                0.51623,                0.75751,                 1.2106,                0.96158,             8.2852e-05,             8.2852e-05,             8.2852e-05
                      9,                0.70336,                 1.0461,                0.93405,                0.71582,                0.65302,                0.64019,                0.52814,                0.75505,                 1.1427,                0.96055,             7.2688e-05,             7.2688e-05,             7.2688e-05
                     10,                0.69426,                 1.0007,                0.92282,                0.78405,                0.59803,                0.66914,                0.55663,                0.74136,                 1.0686,                0.95507,             6.2524e-05,             6.2524e-05,             6.2524e-05
                     11,                0.66946,                0.90381,                0.91823,                0.73371,                0.61761,                0.65994,                0.54772,                0.73177,                 1.0775,                0.94978,              5.236e-05,              5.236e-05,              5.236e-05
                     12,                0.66882,                0.86783,                0.91926,                0.77036,                0.60882,                0.67686,                0.56003,                0.71881,                 1.0625,                0.93976,             4.2196e-05,             4.2196e-05,             4.2196e-05
                     13,                0.65436,                0.80658,                0.90805,                0.77026,                 0.6241,                 0.6849,                0.56691,                0.72183,                 1.0183,                0.94448,             3.2032e-05,             3.2032e-05,             3.2032e-05
                     14,                0.65013,                0.76915,                0.90531,                0.80224,                0.62573,                0.70021,                0.58592,                  0.714,                  1.006,                0.94019,             2.1868e-05,             2.1868e-05,             2.1868e-05
                     15,                 0.6572,                0.76784,                0.90335,                 0.6482,                0.71279,                0.70412,                0.58815,                  0.715,                0.98917,                0.93893,             1.1704e-05,             1.1704e-05,             1.1704e-05
