                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0062,                 1.7251,                0.99273,                      1,                0.18749,                0.69706,                 0.5316,                0.89058,                 2.5835,                 0.9195,             0.00065672,             0.00065672,             0.00065672
                      2,                0.98392,                 1.0456,                0.98049,                0.75379,                0.79036,                0.79936,                 0.5824,                0.94125,                 1.5333,                0.96374,               0.001236,               0.001236,               0.001236
                      3,                0.98489,                 0.9047,                 1.0041,                0.89862,                0.92582,                0.96553,                0.72861,                0.88895,                0.81885,                0.97486,              0.0017274,              0.0017274,              0.0017274
                      4,                 0.9497,                0.79948,                0.98542,                0.87075,                 0.9196,                 0.9506,                0.73193,                0.89027,                0.75829,                0.95316,               0.001604,               0.001604,               0.001604
                      5,                0.91972,                0.72045,                0.97708,                 0.9071,                0.89614,                0.94756,                0.73483,                0.83109,                0.72309,                0.93307,               0.001472,               0.001472,               0.001472
                      6,                0.85379,                0.65924,                0.95016,                0.90488,                0.94955,                0.97845,                0.76331,                0.82336,                0.60538,                0.92648,                0.00134,                0.00134,                0.00134
                      7,                0.82116,                0.61263,                0.93393,                0.94434,                0.93175,                0.98109,                0.78036,                0.81885,                0.58796,                0.93047,               0.001208,               0.001208,               0.001208
                      8,                0.80759,                0.56538,                0.93452,                0.94077,                0.92582,                0.97219,                0.77894,                0.79195,                0.55169,                0.92446,               0.001076,               0.001076,               0.001076
                      9,                0.78988,                0.53863,                  0.923,                0.91034,                0.96413,                0.97869,                0.79727,                0.76235,                0.51723,                0.91592,               0.000944,               0.000944,               0.000944
                     10,                0.75971,                 0.4927,                0.91277,                0.94999,                0.95846,                 0.9827,                0.79423,                0.75152,                0.47051,                 0.9043,               0.000812,               0.000812,               0.000812
                     11,                0.74936,                0.47258,                0.91285,                0.94511,                0.93175,                0.98277,                0.79869,                0.74915,                  0.473,                0.89922,                0.00068,                0.00068,                0.00068
                     12,                0.73472,                0.45678,                0.89946,                0.91005,                0.96736,                0.98222,                0.80612,                0.74359,                 0.4611,                0.90156,               0.000548,               0.000548,               0.000548
                     13,                0.71238,                0.43344,                0.89645,                0.94431,                0.95602,                0.98712,                0.82133,                0.72583,                0.42504,                0.90205,               0.000416,               0.000416,               0.000416
                     14,                0.70766,                0.41687,                0.88822,                0.92712,                0.96142,                0.98365,                0.80657,                0.71157,                0.42441,                0.89488,               0.000284,               0.000284,               0.000284
                     15,                0.68738,                0.40066,                0.88486,                0.94405,                0.95129,                0.98622,                0.82023,                0.70744,                0.41389,                 0.8936,               0.000152,               0.000152,               0.000152
